image,caption
000000008916.jpg,A parking meter with a car in it.
000000008970.jpg,A train full of people with handbags and people with handbags.
000000009089.jpg,A zebra is grazing on a bench.
000000009144.jpg,A person is skiing down a hill.
000000009257.jpg,A group of zebras are grazing on a grassy plain.
000000009309.jpg,A group of cows and birds are grazing on a field.
000000009470.jpg,A person is standing next to a giraffe.
000000010055.jpg,A zebra is grazing on a grassy plain.
000000010186.jpg,A person is carrying a suitcase, handbag and suitcase.
000000010264.jpg,A person is grazing sheep with a dog.
000000010479.jpg,A person is surfing on a surfboard.
000000010500.jpg,A group of sheep are grazing on a grassy field.
000000010617.jpg,A person is surfing on a surfboard.
000000010767.jpg,A person is skiing down a hill.
000000011131.jpg,A person is playing frisbee with a friend.
000000011245.jpg,A person is holding a baseball bat, sports ball, baseball glove, and sports ball.
000000011343.jpg,A giraffe is standing next to a giraffe.
000000011379.jpg,A group of zebras are grazing on a grassy plain.
000000011457.jpg,A person is skiing down a hill.
000000011621.jpg,A donut on a dining table.
000000012225.jpg,A person is flying a kite.
000000012297.jpg,A person is on a boat with an umbrella.
000000012368.jpg,A cat is in the sink.
000000012730.jpg,A cup of coffee is in a microwave.
000000012802.jpg,A giraffe is standing next to a giraffe.
000000012807.jpg,A group of people are riding an elephant.
000000012978.jpg,A person is skiing down a hill.
000000013181.jpg,A man is riding a bicycle with oranges on it.
000000013431.jpg,A kitchen with a refrigerator, microwave, and chair.
000000013479.jpg,A zebra is grazing on a grassy plain.
000000013560.jpg,A zebra is grazing on a grassy area.
000000013971.jpg,A zebra is grazing on a grassy area.
000000014156.jpg,A person is surfing on a surfboard.
000000014324.jpg,A person is carrying a backpack with skis.
000000014409.jpg,A person is skiing down a hill.
000000014545.jpg,A stop sign is on a road.
000000014667.jpg,A person is sitting on a bench.
000000014675.jpg,A pizza with cheese and pepperoni.
000000014794.jpg,A giraffe is eating grass.
000000015077.jpg,A zebra is grazing on a grassy area.
000000015295.jpg,A person is playing tennis with a tennis racket.
000000015464.jpg,A group of zebras are grazing on a grassy plain.
000000015602.jpg,A person is skiing down a hill with his skis.
000000015804.jpg,A zebra is grazing on a grassy plain.
000000015945.jpg,A person is holding a tennis racket.
000000016618.jpg,A toilet with a bowl and spoon.
000000016626.jpg,A sheep is grazing on hay.
000000016769.jpg,A group of people are skiing with a backpack.
000000016786.jpg,A clock with a white face.
000000016924.jpg,A group of zebras are grazing on a grassy plain.
000000017007.jpg,A fire hydrant and a parking meter.
000000017022.jpg,A person is surfing on a surfboard.
000000017041.jpg,A fire hydrant is on a street.
000000017063.jpg,A giraffe is standing next to a giraffe.
000000017228.jpg,A group of zebras are grazing on a grassy plain.
000000017269.jpg,A person and a dog are grazing sheep.
000000017881.jpg,A dog is playing with a frisbee.
000000017968.jpg,A cat, dog, and cat.
000000018108.jpg,A toilet, sink, and sink in a bathroom.
000000018225.jpg,A group of people are holding umbrellas and umbrellas.
000000018852.jpg,A bowl of oranges, apples, and pears.
000000018954.jpg,A dining table with a laptop, book, knife, bottle, and keyboard.
000000018985.jpg,A cat is on a bench.
000000019014.jpg,A person is skateboarding with a skateboard.
000000019105.jpg,A zebra is grazing on a grassy plain.
000000019217.jpg,A person is riding a motorcycle.
000000019286.jpg,A cow is grazing on a grassy field.
000000020061.jpg,A person is riding an elephant.
000000020081.jpg,A person is surfing on a surfboard.
000000020190.jpg,A cow is grazing on a grassy field.
000000020272.jpg,A person is riding a skateboard.
000000020710.jpg,An elephant is grazing on a grassy field.
000000020771.jpg,A group of zebras are grazing on a grassy plain.
000000020806.jpg,A person is skiing on a snowboard.
000000020840.jpg,A giraffe is grazing on a giraffe.
000000020872.jpg,A zebra is sitting on a chair.
000000021064.jpg,A person is on a boat next to an airplane.
000000021341.jpg,A zebra is grazing on a grassy plain.
000000021442.jpg,A group of people are gathered around a kite.
000000021584.jpg,A person is skiing down a hill.
000000021781.jpg,A car with a parking meter and traffic light at the parking lot.
000000022073.jpg,A person is skateboarding with a skateboard.
000000022181.jpg,A traffic light is on a road.
000000022558.jpg,A dining table with a vase, cup, and potted plant.
000000022800.jpg,A zebra is grazing on a grassy plain.
000000023076.jpg,A person is flying a kite.
000000023391.jpg,A snowboarder is preparing to snowboard.
000000023674.jpg,A zebra is parked next to a car.
000000023744.jpg,A giraffe is standing next to a giraffe.
000000023809.jpg,A person is skiing and snowboarding.
000000024083.jpg,A person is skiing down a hill.
000000024142.jpg,A person is surfing on a surfboard.
000000024145.jpg,A dog is playing with a frisbee.
000000024263.jpg,A giraffe is eating grass.
000000024286.jpg,A person is riding an elephant with a group of people.
000000024308.jpg,An elephant is grazing on a grassy area.
000000024598.jpg,A dog is grazing sheep.
000000024742.jpg,A stop sign is on a road.
000000024775.jpg,A person is posing with an elephant and a potted plant.
000000024993.jpg,A person is surfing on a surfboard.
000000025136.jpg,A person is standing next to a fire hydrant.
000000025472.jpg,A pizza with carrots, onions, and carrots.
000000025558.jpg,A person is surfing on a surfboard.
000000025836.jpg,A person is riding a skateboard.
000000025894.jpg,A fire hydrant is on a street.
000000026065.jpg,A horse is grazing on hay.
000000026102.jpg,A person is eating a hot dog.
000000026186.jpg,A toilet with a laptop on it.
000000026284.jpg,A person is skiing down a hill.
000000026391.jpg,A person is using a laptop and tv.
000000026568.jpg,A person is holding an umbrella while he or she is skiing.
000000026610.jpg,A person is flying a kite.
000000026657.jpg,A cup of donuts on a dining table.
000000026680.jpg,A group of zebras are grazing on a grassy plain.
000000026689.jpg,A dining table, chairs, and a cow.
000000026788.jpg,A teddy bear is on a bed.
000000026822.jpg,A person is holding a carrot, toothbrush, and clock.
000000026940.jpg,A chair, microwave, and TV are in a kitchen.
000000027054.jpg,A person is holding a giraffe.
000000027196.jpg,A person is holding an umbrella and a handbag.
000000027542.jpg,A person is brushing their teeth with a toothbrush.
000000027661.jpg,A group of zebras and giraffes are grazing on a grassy plain.
000000027922.jpg,A plate of donuts, fork, knife, cup, and cup on a dining table.
000000027960.jpg,An elephant is grazing on a grassy field.
000000027993.jpg,A person is playing tennis with a tennis racket and sports ball.
000000028975.jpg,A teddy bear is sitting on a chair.
000000029174.jpg,A boat with birds on it.
000000029247.jpg,A person is skiing down a hill.
000000029313.jpg,A person is skiing down a hill.
000000029332.jpg,A group of people are surfing on a surfboard.
000000029440.jpg,A person is flying a kite.
000000029549.jpg,A giraffe is grazing on a giraffe.
000000029960.jpg,A horse is grazing on hay.
000000030075.jpg,A giraffe is grazing on a giraffe.
000000030226.jpg,A group of people are sitting on a bench.
000000030227.jpg,A group of elephants are parked next to a truck.
000000030323.jpg,A cow is grazing on a grassy field.
000000030765.jpg,A fire hydrant with a fire truck.
000000030776.jpg,A toilet with a seat in the middle of the room.
000000030908.jpg,A group of sheep and sheep are grazing on a grassy field.
000000031095.jpg,A cup of toothpaste with a toothbrush in it.
000000031351.jpg,A cow is grazing on hay.
000000031404.jpg,A person is carrying a backpack with skis.
000000031703.jpg,A donut on a dining table.
000000032216.jpg,A zebra is grazing on a grassy plain.
000000032245.jpg,A person is playing sports with a baseball bat, tennis racket, and sports ball.
000000032340.jpg,A person is holding an umbrella.
000000032619.jpg,A bird is parked next to a fire hydrant.
000000032651.jpg,A giraffe is eating grass.
000000033570.jpg,A group of people are playing frisbee with a surfboard.
000000033696.jpg,A person is surfing on a surfboard.
000000033769.jpg,A person is surfing on a surfboard.
000000033770.jpg,A zebra is grazing on a grassy plain.
000000033819.jpg,A group of people are sitting in chairs, holding umbrellas, and holding handbags.
000000034066.jpg,A cat is on a TV.
000000034135.jpg,A bowl of bananas, apples, oranges, and oranges.
000000034413.jpg,A fire hydrant is on a street.
000000034638.jpg,A bear is a large animal that lives in the forest.
000000034911.jpg,A person is skiing down a hill.
000000034943.jpg,A person is skiing and snowboarding.
000000035495.jpg,A toilet with a seat in the middle of the room.
000000035877.jpg,A stop sign is on a road.
000000035991.jpg,A person is skiing with a group of people.
000000036008.jpg,A group of zebras are grazing on a grassy plain.
000000036014.jpg,A person is eating a hot dog.
000000036154.jpg,A person is skiing down a hill.
000000036369.jpg,A giraffe is standing next to a giraffe.
000000036752.jpg,A cat is in a sink.
000000036821.jpg,A dining table with a bench, chairs, and potted plants.
000000036946.jpg,A zebra is grazing on a grassy plain.
000000036992.jpg,A group of people are playing frisbee.
000000037146.jpg,A person is cutting a person with scissors.
000000037199.jpg,A toilet, sink, bottle, and bottle in a bathroom.
000000037435.jpg,A parking meter with cars and a parking meter.
000000037721.jpg,A person is carrying a backpack with skis.
000000037948.jpg,A giraffe is standing next to a giraffe.
000000038007.jpg,A person is snowboarding down a snowy hill.
000000038133.jpg,A person is surfing on a surfboard.
000000038150.jpg,A zebra is grazing on a grassy area.
000000038458.jpg,A truck is stopped at a stop sign.
000000038600.jpg,A person is surfing on a surfboard.
000000038631.jpg,A person is watching tv with a cat.
000000038897.jpg,A person is snowboarding down a snowy hill.
000000039158.jpg,A giraffe is standing next to a giraffe.
000000039170.jpg,A person is playing tennis with a tennis racket and sports ball.
000000039341.jpg,A donut, cup, bottle and bottle on a dining table.
000000040080.jpg,A person is walking with an umbrella in front of a traffic light.
000000040154.jpg,A zebra is grazing on a grassy area.
000000040261.jpg,A person is skiing down a hill.
000000040400.jpg,A zebra is grazing on a grassy plain.
000000040494.jpg,A person is skiing down a hill.
000000040550.jpg,A person is skiing down a hill.
000000040561.jpg,A person is holding an umbrella next to a group of people.
000000040644.jpg,A clock with a white face.
000000040692.jpg,A person is tying a kite.
000000040802.jpg,A person is holding a tennis racket.
000000041004.jpg,A fire hydrant is on a street.
000000041409.jpg,A banana, orange, apple, and orange are on a plate.
000000041535.jpg,A person is surfing on a surfboard.
000000043208.jpg,A zebra is grazing on a grassy plain.
000000043214.jpg,A person is snowboarding with a snowboard.
000000043259.jpg,A person is on a snowboard and skateboard.
000000043312.jpg,A giraffe is standing next to a giraffe.
000000043421.jpg,A spoon and an apple on a dining table.
000000043442.jpg,A zebra is grazing on a grassy area.
000000043726.jpg,A person carrying a backpack with an elephant.
000000043738.jpg,A zebra and a zebra with elephants and elephants.
000000043890.jpg,A group of people are riding a motorcycle.
000000043954.jpg,An elephant is grazing on a grassy field.
000000044104.jpg,A toilet with a seat on top of it.
000000044158.jpg,A zebra is grazing on a grassy area.
000000044249.jpg,A group of people are riding an elephant.
000000044271.jpg,A group of cows are grazing on a farm.
000000044651.jpg,A person is using a spoon to clean the oven.
000000044738.jpg,A group of cows, sheep, and sheep are grazing on a field.
000000045061.jpg,A person is skateboarding on a skateboard.
000000045077.jpg,A bench with chairs and a bottle on it.
000000045221.jpg,A person is holding a baseball bat.
000000045288.jpg,A group of people are snowboarding down a hill.
000000045547.jpg,A person is skateboarding on a skateboard.
000000045898.jpg,A person is playing frisbee with a friend.
000000045913.jpg,A cat, dog, suitcase, chair, and chair.
000000046939.jpg,A person is riding a skateboard.
000000046955.jpg,A pizza, cake, bottle and a dining table.
000000047310.jpg,A giraffe is standing next to a giraffe.
000000047874.jpg,A toilet with a seat in the middle of the room.
000000048006.jpg,A person is playing tennis with a tennis racket and sports ball.
000000048476.jpg,A person is using a cell phone.
000000048515.jpg,A group of giraffes are grazing on a grassy area.
000000048592.jpg,A person is snowboarding down a hill.
000000048859.jpg,A dog is playing with a frisbee.
000000048928.jpg,A sink, microwave, oven, and sink in a kitchen.
000000049012.jpg,A toilet and sink in a bathroom.
000000049067.jpg,A pizza with broccoli, cheese, and broccoli.
000000049145.jpg,A person is snowboarding down a snowy hill.
000000049241.jpg,A bird is eating an apple.
000000049251.jpg,A cow is grazing on a grassy field.
000000050032.jpg,A dog is on a bench.
000000050142.jpg,A giraffe is being walked by a group of people.
000000050146.jpg,A group of zebras are grazing on a grassy plain.
000000050154.jpg,A person is playing tennis with a tennis racket and sports ball.
000000050267.jpg,A dog is riding a skateboard.
000000050458.jpg,A sheep is grazing on hay.
000000050698.jpg,A person is playing frisbee with a group of people.
000000050738.jpg,A person is skiing down a hill.
000000050792.jpg,An airplane is flying over a city.
000000050891.jpg,A fire hydrant with a truck and cars.
000000051105.jpg,A group of people are playing sports with a sports ball.
000000051125.jpg,A cat is on a TV.
000000051293.jpg,A man is flying a kite.
000000051449.jpg,A zebra is grazing on a grassy plain.
000000051670.jpg,A toilet and sink in a bathroom.
000000052054.jpg,A person is tied with a tie and cell phone.
000000052294.jpg,A fire hydrant is on a street.
000000052513.jpg,A sink, microwave, bottle, oven and bottle in a kitchen.
000000052587.jpg,A stop sign is on a road.
000000053387.jpg,A cow is grazing on a grassy field.
000000053456.jpg,A zebra is grazing on a grassy area.
000000053646.jpg,An elephant is grazing on a grassy area.
000000054053.jpg,A cow is grazing on hay.
000000054131.jpg,A group of zebras, cows, horses, and a horse.
000000054453.jpg,A parking meter is on a street.
000000054734.jpg,A parking meter is on a street.
000000054963.jpg,A bear is a large animal that lives in the forest.
000000055087.jpg,A group of sheep are grazing on a field.
000000055185.jpg,A group of zebras are grazing on a grassy plain.
000000055590.jpg,A stop sign is on a road.
000000055678.jpg,A person is skateboarding with a skateboard.
000000055726.jpg,A person is flying a kite.
000000055935.jpg,A giraffe is standing next to a giraffe.
000000056166.jpg,A zebra is grazing on a grassy plain.
000000056697.jpg,A stop sign is on a road.
000000056912.jpg,A zebra is grazing on a grassy plain.
000000056959.jpg,A bear is a large animal that lives in the forest.
000000057102.jpg,A group of sheep and sheep are grazing on a farm.
000000057139.jpg,A stop sign is on a road.
000000057164.jpg,A cow is grazing on hay.
000000057327.jpg,An airplane is flying over a boat.
000000057369.jpg,A person is holding a cup of donuts.
000000057458.jpg,A bed with a laptop, mouse, potted plants, keyboard and mouse.
000000057755.jpg,A fire hydrant is on a street.
000000057934.jpg,A banana, cup, and spoon on a dining table.
000000058334.jpg,A person is tied to an umbrella.
000000058422.jpg,A zebra is grazing on a grassy plain.
000000058510.jpg,A person is skiing down a hill.
000000058852.jpg,A person is carrying an umbrella and a backpack.
000000058903.jpg,A dining table with broccoli, carrots, oranges, and oranges.
000000059018.jpg,A stop sign is on a road.
000000059049.jpg,A cat is in a refrigerator.
000000059206.jpg,A person is carrying a backpack with skis.
000000059300.jpg,A person is using a cell phone.
000000059645.jpg,A remote control with a mouse.
000000059940.jpg,Two giraffes and a zebra are in a zoo.
000000060030.jpg,A cat is on a toilet.
000000060331.jpg,Two giraffes and a zebra are in a zoo.
000000060652.jpg,A traffic light and a fire hydrant.
000000060808.jpg,A dining table with a potted plant and umbrella.
000000061123.jpg,A person is holding a giraffe while people are walking by.
000000061445.jpg,A teddy bear with a book on it.
000000061691.jpg,A toilet with a seat on top of it.
000000061912.jpg,A man is flying a kite.
000000061934.jpg,A person is surfing on a surfboard.
000000062015.jpg,Apples in a bowl with apples in a bowl.
000000062290.jpg,A person is holding a sports ball, baseball glove, and bottle.
000000062465.jpg,A person is holding an elephant and a person is holding an elephant.
000000062637.jpg,A refrigerator with a lot of food.
000000062925.jpg,A person is riding a skateboard.
000000063186.jpg,A person is playing tennis with a tennis racket and sports ball.
000000063313.jpg,A person is skateboarding with a skateboard.
000000063809.jpg,A group of cows are grazing on a farm.
000000063834.jpg,A person is skateboarding with a skateboard.
000000063902.jpg,An elephant is grazing on a grassy area.
000000064422.jpg,A toilet with a seat on top of it.
000000064447.jpg,A person is flying a kite.
000000064477.jpg,A kitchen with a refrigerator, microwave, sink, bottle, vase, and potted plant.
000000064758.jpg,A pizza, cup, bottle, knife and bottle on a dining table.
000000065193.jpg,A person is holding a tennis racket.
000000065251.jpg,A snowboarder is preparing to snowboard.
000000065693.jpg,A person is demonstrating how to use a kite.
000000065825.jpg,A person is holding an umbrella.
000000065911.jpg,A group of people are playing frisbee with a frisbee.
000000065926.jpg,A group of zebras are grazing on a grassy plain.
000000065934.jpg,A person is snowboarding with a snowboard.
000000066089.jpg,A person is playing tennis with a tennis racket and sports ball.
000000066392.jpg,A fire hydrant is on a street.
000000067266.jpg,Two giraffes and an elephant in a zoo.
000000067360.jpg,A toilet with a seat in the middle of the room.
000000067642.jpg,A giraffe, zebra, horse, cow and horse in a zoo.
000000067830.jpg,A bed with a wine glass and umbrella.
000000068991.jpg,Bananas are a staple food in many cultures.
000000069287.jpg,A giraffe is eating grass.
000000069503.jpg,A person is playing tennis with a tennis racket and sports ball.
000000069722.jpg,A clock with a white face.
000000069833.jpg,A sheep is being grazed by a truck.
000000069912.jpg,An elephant is grazing on a grassy field.
000000069921.jpg,A person is skiing on a snowboard.
000000070049.jpg,A person is skiing with a group of people.
000000070147.jpg,A person is playing frisbee with a friend.
000000070506.jpg,A suitcase with a potted plant.
000000070672.jpg,A toilet with a seat in the middle of the room.
000000071193.jpg,A giraffe is grazing on a grassy area.
000000071598.jpg,A giraffe and a bird.
000000071663.jpg,A person is snowboarding on a surfboard.
000000071885.jpg,A stop sign is on a road.
000000072015.jpg,A bear is a large animal that lives in the forest.
000000072100.jpg,A hot dog on a dining table.
000000072347.jpg,A giraffe is standing next to a giraffe.
000000072722.jpg,A stop sign is on a road.
000000072758.jpg,A dining table with bowls of donuts, bananas, apples, and bowls of donuts.
000000072801.jpg,A dog is on a skateboard.
000000072967.jpg,A group of cows are grazing on a farm.
000000073046.jpg,A group of elephants and cows are grazing on a grassy area.
000000073065.jpg,A person is surfing on a surfboard.
000000073428.jpg,A group of zebras and giraffes are grazing on a grassy plain.
000000073475.jpg,A giraffe is standing next to a giraffe.
000000073723.jpg,A train, airplane, boat, and truck are in the background.
000000073841.jpg,A group of people are skiing down a hill.
000000073871.jpg,A person is skiing down a hill.
000000074061.jpg,A person is skateboarding with a skateboard.
000000074149.jpg,A group of cows are grazing on a farm.
000000074207.jpg,A group of zebras are grazing on a grassy plain.
000000074449.jpg,A toothbrush and cup of toothpaste in a cup.
000000074716.jpg,A parking meter with a parking meter on it.
000000074890.jpg,A man is riding a skateboard, bicycle, and motorcycle.
000000075013.jpg,A toilet with a seat on top of it.
000000075106.jpg,A person is playing tennis with a tennis racket and sports ball.
000000075142.jpg,A person is playing tennis with a tennis racket and sports ball.
000000075553.jpg,A dining table with a bowl of carrots, apples, and spoons.
000000075623.jpg,A group of zebras are grazing on a grassy plain.
000000075797.jpg,A person is flying a kite.
000000076144.jpg,A kitchen with a refrigerator, oven, chair and clock.
000000076259.jpg,A person is snowboarding with a snowboard.
000000076640.jpg,A bear is a large animal that lives in the forest.
000000076692.jpg,A group of cows and sheep are grazing on hay.
000000076775.jpg,A pizza with a knife on it.
000000076898.jpg,A giraffe is standing next to a giraffe.
000000076983.jpg,A person is eating a hot dog.
000000077253.jpg,A person is riding a skateboard.
000000077519.jpg,A person is playing tennis with a tennis racket.
000000077605.jpg,A teddy bear is sitting on a chair.
000000077619.jpg,A clock with a white face.
000000077634.jpg,A zebra is grazing on a grassy plain.
000000077764.jpg,A person is skiing down a hill.
000000077961.jpg,A person is holding an umbrella and a surfboard.
000000078191.jpg,A group of cows are grazing on a farm.
000000078329.jpg,A group of people are skiing down a mountain.
000000078647.jpg,A person is eating cake on a dining table.
000000078722.jpg,A person is playing tennis with a tennis racket.
000000078912.jpg,A person is playing frisbee with a friend.
000000078931.jpg,A zebra is grazing on a grassy plain.
000000079040.jpg,A person is carrying a suitcase and handbag.
000000079412.jpg,A giraffe is grazing on a grassy area.
000000080136.jpg,A person is holding an umbrella while people are on a boat.
000000080289.jpg,A person is skateboarding near a fire hydrant.
000000080301.jpg,A dining table, chair, refrigerator, oven, and dog in a kitchen.
000000080440.jpg,A giraffe is standing next to a giraffe.
000000080938.jpg,A person is skateboarding on a skateboard.
000000081130.jpg,A person is riding a skateboard.
000000081240.jpg,A pizza on a dining table.
000000081423.jpg,A cat and a teddy bear.
000000081925.jpg,A person is sitting on a chair with bananas.
000000082050.jpg,A dining table with a donut, orange, book and bottle.
000000082322.jpg,A person is surfing on a surfboard.
000000082527.jpg,A person is carrying a backpack with skis.
000000083357.jpg,A kitchen with a sink, microwave, bowl, cup, knife, vase, toaster and potted plant.
000000083491.jpg,A giraffe is eating grass.
000000083694.jpg,A fire hydrant is on a street.
000000083961.jpg,A toilet with a book in the bowl.
000000084116.jpg,A person is riding a skateboard.
000000084508.jpg,A bench with a teddy bear on it.
000000084616.jpg,A bed with a sports ball.
000000084713.jpg,A person is playing tennis with a tennis racket and sports ball.
000000084882.jpg,A person is carrying a backpack with skis.
000000085074.jpg,A zebra is grazing on a grassy area.
000000085742.jpg,A person is riding a skateboard.
000000085922.jpg,A person is holding a teddy bear.
000000086002.jpg,A giraffe is standing next to a giraffe.
000000086076.jpg,A person is surfing on a surfboard.
000000086936.jpg,A cat is on a toilet.
000000086947.jpg,A bird is playing with a frisbee.
000000087071.jpg,A dog is near a cow.
000000087722.jpg,A toilet, sink and sink in a bathroom.
000000087785.jpg,A refrigerator with a sink and bottles of water.
000000087944.jpg,A person is slicing carrots with a knife.
000000088295.jpg,A person is sitting on a bench.
000000088356.jpg,A zebra is grazing on a grassy plain.
000000088435.jpg,A person is demonstrating how to use a kite.
000000088890.jpg,A group of sheep are grazing on a grassy field.
000000089035.jpg,A stop sign is on a road.
000000089242.jpg,A pair of scissors are on a table.
000000089489.jpg,A cat is on a bench.
000000089495.jpg,A person is holding an umbrella.
000000089509.jpg,A dog is playing with a potted plant.
000000089669.jpg,A group of people are skiing down a mountain.
000000089726.jpg,A tennis racket and a potted plant.
000000089727.jpg,A zebra is grazing on a grassy plain.
000000089998.jpg,A kitchen with a sink, refrigerator, oven, bowl, bottle, and spoon.
000000090013.jpg,A stop sign is on a road.
000000090260.jpg,A giraffe is standing next to a giraffe.
000000090294.jpg,A woman is carrying a laptop, book, cell phone, keyboard, remote, book, and handbag.
000000090376.jpg,A person is snowboarding with a friend.
000000090504.jpg,A group of people are skiing and snowboarding.
000000090541.jpg,A fire hydrant is on a street.
000000090746.jpg,A bear is a large animal that lives in the forest.
000000091091.jpg,A person is skiing on skis.
000000091316.jpg,A person is flying a kite.
000000091542.jpg,A cat is on a couch.
000000091635.jpg,A person is playing frisbee with a friend.
000000091786.jpg,A person is flying a kite.
000000091897.jpg,A teddy bear is on a shelf.
000000091922.jpg,A person is skiing down a hill.
000000092211.jpg,A person is kite surfing with a surfboard.
000000092403.jpg,A group of sheep are grazing on a grassy field.
000000092427.jpg,A giraffe is standing next to a giraffe.
000000092507.jpg,A pizza with broccoli and a pizza with cheese.
000000092560.jpg,A giraffe is standing next to a car.
000000092924.jpg,Bananas are a staple food in many cultures.
000000093042.jpg,A stop sign is on a road.
000000093130.jpg,A giraffe is standing next to a giraffe.
000000093136.jpg,A fire hydrant is on a street.
000000093265.jpg,A person is skiing down a hill with his skis.
000000093293.jpg,A train is traveling down the tracks.
000000093415.jpg,A giraffe is standing next to a giraffe.
000000093458.jpg,A group of cows and cows are grazing in a field.
000000093658.jpg,An elephant is grazing on a grassy area.
000000093943.jpg,A person is riding a skateboard.
000000093987.jpg,A person is skateboarding on a skateboard.
000000094465.jpg,A vase on a dining table.
000000094806.jpg,A zebra is grazing on a grassy plain.
000000094856.jpg,A giraffe is standing next to a giraffe.
000000094896.jpg,A refrigerator with a lot of food.
000000095270.jpg,A toilet with a seat on top of it.
000000095579.jpg,A person is skiing down a hill.
000000095917.jpg,A person is skiing down a hill.
000000095942.jpg,A zebra is grazing on a grassy plain.
000000095977.jpg,A group of people are riding an elephant.
000000096013.jpg,A person is snowboarding with a snowboard.
000000096135.jpg,A person is using a cell phone while snowboarding.
000000096337.jpg,A vase with a potted plant.
000000096635.jpg,A toilet, sink, and cup in a bathroom.
000000096903.jpg,A person is riding a motorcycle.
000000096944.jpg,A person is skiing down a hill.
000000096980.jpg,A person is playing tennis with a tennis racket and sports ball.
000000097088.jpg,A clock with a bird on it.
000000097381.jpg,A bowl of carrots with a spoon in it.
000000097651.jpg,A group of people are surfing on a surfboard.
000000098319.jpg,A man is sitting at a dining table with an orange laptop.
000000098507.jpg,A person is playing frisbee with a person.
000000098586.jpg,A traffic light is on a road.
000000098637.jpg,A person is riding a skateboard.
000000098921.jpg,A cow is eating carrots.
000000098953.jpg,A giraffe is grazing on a grassy area.
000000098955.jpg,A zebra is grazing on a grassy area.
000000099042.jpg,A dog is playing with a frisbee.
000000099158.jpg,A group of people are riding bicycles with umbrellas.
000000099702.jpg,A bear is a large animal that lives in the forest.
000000100154.jpg,A group of zebras are grazing on a grassy plain.
000000100185.jpg,A dog is playing with a frisbee.
000000100427.jpg,A person is holding a baseball bat and sports ball.
000000100660.jpg,A person is carrying an umbrella and a backpack while walking down the street.
000000100664.jpg,A dining table with a cup, spoon, broccoli, carrots, and broccoli.
000000100823.jpg,A giraffe is eating grass.
000000100905.jpg,A dog is playing with a frisbee.
000000100922.jpg,A zebra is grazing on a grassy plain.
000000100968.jpg,A toilet with a seat in the middle of the room.
000000101227.jpg,A fire hydrant is on a street.
000000101345.jpg,A stop sign is on a road.
000000101589.jpg,A person is skateboarding on a skateboard.
